date,geography,geography code,Type of central heating in household: Total: All households,Type of central heating in household: No central heating,Type of central heating in household: Mains gas only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Electric only,Type of central heating in household: Oil only,Type of central heating in household: Wood only,Type of central heating in household: Solid fuel only,Type of central heating in household: Renewable energy only,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Other central heating only,Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Two or more types of central heating (including renewable energy)
2021,Reigate and Banstead,E07000211,59850,529,48298,394,4546,368,25,6,124,284,386,4493,397
2021,Runnymede,E07000212,34837,443,25899,842,4044,172,11,9,87,124,202,2732,272
2021,Spelthorne,E07000213,41804,576,32824,368,4322,55,2,6,84,216,316,2818,217
2021,Surrey Heath,E07000214,36009,254,29403,289,2555,118,10,6,60,96,167,2868,183
2021,Tandridge,E07000215,35625,313,27335,450,2137,1234,30,17,182,114,202,3196,415
2021,Waverley,E07000216,52448,376,40151,589,3570,1701,82,17,322,164,166,4839,471
2021,Woking,E07000217,41436,613,30401,158,5685,180,9,4,137,653,339,2918,339
2021,North Warwickshire,E07000218,27578,278,20991,441,1817,842,58,226,75,21,118,2597,114
2021,Nuneaton and Bedworth,E07000219,56585,649,46544,211,3597,97,27,133,43,391,439,4288,166
2021,Rugby,E07000220,47010,437,37162,331,3513,866,44,54,222,127,264,3735,255
2021,Stratford-on-Avon,E07000221,59462,569,35537,2579,5337,7288,179,239,835,165,258,5896,580
2021,Warwick,E07000222,62623,721,46976,599,6555,1539,111,24,258,307,287,4841,405
2021,Adur,E07000223,27676,423,22284,56,2306,40,16,5,40,147,151,2076,132
2021,Arun,E07000224,72664,1012,56347,677,6856,736,58,32,195,265,368,5724,394
2021,Chichester,E07000225,54118,672,32986,1564,5631,5498,183,95,564,467,215,5653,590
2021,Crawley,E07000226,45499,590,36162,250,4044,63,8,2,37,218,499,3446,180
2021,Horsham,E07000227,62370,616,43309,1276,5409,4776,110,48,430,313,260,5338,485
2021,Mid Sussex,E07000228,63351,539,48210,562,4976,2779,93,24,287,219,265,4910,487
2021,Worthing,E07000229,49537,866,38003,92,6368,60,23,10,36,321,268,3320,170
2021,Bromsgrove,E07000234,41265,364,33073,670,2027,890,51,37,104,34,151,3653,211
2021,Malvern Hills,E07000235,34891,433,19637,1911,2325,5260,192,154,500,103,105,3857,414
2021,Redditch,E07000236,36377,352,30420,148,1806,153,13,8,32,98,291,2939,117
2021,Worcester,E07000237,44722,698,35559,129,4337,69,14,6,50,179,294,3220,167
2021,Wychavon,E07000238,57357,596,37662,2567,4059,5155,133,160,382,177,255,5761,450
2021,Wyre Forest,E07000239,45321,671,34191,1242,2896,1071,85,89,82,123,214,4493,164
2021,St Albans,E07000240,58993,482,48054,314,4620,388,57,15,113,238,306,4133,273
2021,Welwyn Hatfield,E07000241,46208,438,36429,383,3920,410,12,17,66,201,375,3706,251
2021,East Hertfordshire,E07000242,62017,697,44196,644,6846,3417,57,80,294,147,249,5039,351
2021,Stevenage,E07000243,36512,318,28988,196,3139,31,3,12,35,425,314,2957,94
2021,East Suffolk,E07000244,110746,1564,74863,1377,9560,9646,384,187,1107,269,492,10200,1097
2021,West Suffolk,E07000245,78746,847,46307,1141,8459,13087,147,134,823,288,430,6521,562
2021,Somerset West and Taunton,E07000246,69985,1240,44055,1194,7017,6695,405,179,657,176,371,7285,711
2021,Bolton,E08000001,118789,1747,96195,402,8045,250,42,90,104,643,1346,9650,275
2021,Bury,E08000002,80694,1035,67065,225,4957,182,27,20,66,200,574,6159,184
2021,Manchester,E08000003,214735,4884,143876,1039,39199,193,77,23,400,2349,3731,18074,890
2021,Oldham,E08000004,93139,1109,75150,432,4829,269,28,39,89,1190,1313,8407,284
2021,Rochdale,E08000005,90225,1144,73569,433,5011,257,46,39,76,315,1116,7968,251
2021,Salford,E08000006,115116,1952,79857,436,20813,161,21,59,368,843,1368,8826,412
2021,Stockport,E08000007,126649,1570,103947,362,8626,238,169,32,210,1157,887,9017,434
2021,Tameside,E08000008,99524,1456,81583,331,5629,168,38,32,103,357,930,8542,355
2021,Trafford,E08000009,96267,1160,78873,228,7638,107,39,11,139,557,629,6669,217
2021,Wigan,E08000010,143102,1383,120044,577,7411,297,51,298,132,283,893,11341,392
2021,Knowsley,E08000011,66073,1020,55121,565,2756,133,102,37,104,211,930,4820,274
2021,Liverpool,E08000012,207491,4822,161443,986,20288,111,23,44,175,1107,2894,15212,386
2021,St. Helens,E08000013,81011,1003,68813,310,3002,185,33,107,46,340,659,6324,189
2021,Sefton,E08000014,123075,1965,102891,569,6686,292,47,57,104,506,1036,8648,274
2021,Wirral,E08000015,143253,2125,120711,484,6813,238,33,26,171,673,1156,10431,392
2021,Barnsley,E08000016,108054,755,88744,609,3637,771,122,967,402,933,985,9564,565
2021,Doncaster,E08000017,133481,1117,109842,1328,5046,1190,126,870,323,624,1185,11190,640
2021,Rotherham,E08000018,113925,929,94367,557,3738,519,64,531,232,1294,1187,9923,584
2021,Sheffield,E08000019,231950,3222,183700,827,16969,355,76,194,432,4872,2472,17931,900
2021,Newcastle upon Tyne,E08000021,122797,1447,91909,457,12392,131,44,38,133,2880,1642,11298,426
2021,North Tyneside,E08000022,96234,767,79948,249,5066,55,13,35,64,556,866,8280,335
2021,South Tyneside,E08000023,68286,490,56263,226,2468,53,21,74,82,518,832,7022,237
2021,Sunderland,E08000024,122177,908,97605,405,5844,144,46,240,253,1567,1542,12811,812
2021,Birmingham,E08000025,423455,9995,314339,2037,49507,292,60,56,343,2524,8738,34541,1023
2021,Coventry,E08000026,134140,2584,106616,588,11450,103,24,34,93,504,1626,10164,354
2021,Dudley,E08000027,137065,2139,113051,425,8840,62,45,65,57,289,1092,10688,312
2021,Sandwell,E08000028,130246,2349,102445,608,10421,46,29,52,66,293,2031,11607,299
2021,Solihull,E08000029,89482,962,72794,598,5681,700,242,19,182,324,997,6640,343
2021,Walsall,E08000030,112226,1673,89535,557,8755,82,43,42,81,414,1348,9445,251
2021,Wolverhampton,E08000031,105142,1863,80484,440,10465,65,29,53,60,771,1501,9123,288
2021,Bradford,E08000032,209866,4539,164616,1050,15172,702,114,127,258,968,3439,18321,560
2021,Calderdale,E08000033,90479,1863,70481,550,5840,843,124,197,283,200,738,8962,398
2021,Kirklees,E08000034,177988,3543,143867,816,9322,715,143,236,437,936,1713,15490,770
2021,Leeds,E08000035,341468,7383,261846,1439,36550,660,136,232,621,1572,3596,26274,1159
2021,Wakefield,E08000036,153075,1501,125136,683,7930,547,93,985,303,991,1070,13120,716
2021,Gateshead,E08000037,88999,778,71620,309,5614,202,37,139,115,594,962,8381,248
2021,City of London,E09000001,4915,184,1323,29,1937,15,1,0,9,915,145,348,9
2021,Barking and Dagenham,E09000002,73902,1611,52530,474,9141,60,18,11,146,1598,1634,6402,277
